name,value,context,source
--color--background--primary,var(--swatch--light-1),,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--text-family--paragraph,var(--text-family--options--system),,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--color--text--primary,var(--swatch--dark-1),,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--text-family--h1,var(--text-family--options--system),,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--heading--h1,3.5rem,,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--text-family--h2,var(--text-family--options--system),,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--heading--h2,3rem,,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--text-family--h3,var(--text-family--options--system),,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--heading--h3,2.5rem,,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--text-family--h4,var(--text-family--options--system),,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--heading--h4,2rem,,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--text-family--h5,var(--text-family--options--system),,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--heading--h5,1.5rem,,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--text-family--h6,var(--text-family--options--system),,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
--heading--h6,1.25rem,,archive/raw/assets/assets-global.website-files.com/c4a7fd58cf85-variable-design-system.webflow.08f7d96a9.css
